id, actually,walk,reason,morning,yourself,leg,available,race,late,customer,stay,want,state,represent,evidence,identify,agent,that,movie,expert,certain,human,various,drug,full,make,everything,evidence,fall,worry
1,television,commercial,be,evening,hotel,month,success,listen,alone,or,feel,PM,American,project,weight,less,than,position,American,member,behavior,series,four,her,system,bank,position,weight,executive,vote
2,why,southern,fly,size,require,hit,deep,home,pretty,company,physical,choice,next,give,evening,describe,white,recently,north,general,tonight,much,himself,entire,likely,pull,study,evening,list,policy
3,her,not,environmental,near,question,really,own,her,hotel,official,forward,still,call,poor,administration,knowledge,grow,order,science,whatever,themselves,sport,theory,first,team,nearly,southern,administration,event,article
4,customer,education,note,them,left,world,reality,leg,financial,off,same,better,issue,itself,boy,method,drive,yard,figure,window,protect,about,per,site,defense,heart,quite,boy,fear,current
5,ahead,social,line,pressure,finish,blue,little,still,hear,security,play,down,represent,floor,information,black,head,trial,life,market,administration,the,mother,natural,play,responsibility,young,information,even,through
6,across,population,different,heavy,avoid,think,worry,card,nothing,him,lawyer,same,police,door,meeting,letter,name,nature,push,sister,your,score,national,above,everything,among,drive,meeting,look,difference
7,cut,unit,civil,nearly,dinner,leave,step,worker,buy,age,car,else,safe,final,couple,west,work,seat,science,save,attention,determine,minute,claim,hot,young,tough,couple,give,fund
8,charge,central,heart,her,long,against,someone,though,imagine,game,others,Congress,that,within,fire,themselves,dream,executive,be,position,she,bar,save,bed,reveal,politics,money,fire,spend,learn
9,within,never,spring,pretty,anyone,blood,street,two,available,word,policy,ready,feel,anyone,improve,page,support,which,responsibility,ever,Democrat,blue,area,not,imagine,argue,through,improve,close,whom
10,ball,support,third,language,make,choice,paper,real,near,others,keep,light,food,want,go,case,live,myself,majority,son,information,him,store,role,clear,difference,building,go,fear,force
11,finish,performance,according,house,suddenly,pay,whom,fund,town,event,player,operation,training,during,visit,star,behind,we,today,nation,building,relationship,night,power,series,experience,under,visit,black,treat
12,increase,culture,military,be,morning,this,world,personal,true,many,minute,toward,dark,whose,look,wind,beat,fill,if,your,himself,turn,both,consumer,couple,kind,assume,look,street,production
13,type,involve,young,three,their,name,force,improve,ball,blood,quickly,cut,all,president,style,night,prepare,bring,but,town,pick,along,most,also,station,once,moment,style,environment,feeling
14,run,conference,professor,rate,foot,anything,dream,firm,common,government,buy,Congress,specific,authority,billion,race,born,account,dream,room,once,health,chair,international,catch,she,baby,billion,point,music
15,attack,paper,model,bring,level,close,realize,goal,information,politics,difficult,evidence,generation,offer,now,site,staff,explain,particular,list,daughter,at,floor,research,interesting,clearly,consider,now,practice,break
16,body,away,sell,stop,world,thousand,ask,about,foot,each,least,describe,plant,that,past,case,south,require,right,town,rich,exist,feel,father,figure,reach,speech,past,employee,take
17,here,father,southern,recent,low,toward,responsibility,successful,ok,sea,sell,fly,similar,parent,task,different,Republican,oil,million,this,day,office,party,tree,must,gun,nice,task,seek,plant
18,pretty,visit,defense,reduce,message,production,theory,security,physical,my,reflect,skin,total,call,woman,company,method,growth,issue,letter,writer,its,around,maintain,take,necessary,why,woman,task,poor
19,among,someone,protect,system,financial,early,ever,open,room,rich,idea,few,international,serious,store,yes,energy,rise,article,age,then,carry,need,father,edge,wide,young,store,performance,many
20,anyone,seven,decide,that,during,card,democratic,break,look,move,order,daughter,set,enter,later,into,authority,across,side,wish,here,big,who,around,those,benefit,history,later,ever,line
